Kasus_ID,Specialty,Dataset,Mode,P_original,P_masked,Delta_P,Masked_Tokens
CASE_025,Consult - History and Phy.,B_NOISY,BASELINE,0.733003,0.718386,0.014617,"[' haven', 'Doc', '.', '?', ' don']"
CASE_025,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.73894,0.67456,0.064379,"['Doc', ' haven', '.', '?', ' don']"
CASE_026,Consult - History and Phy.,A_CLEAN,BASELINE,0.988353,0.309341,0.679013,"['/', '4', ' ', '/', ' about']"
CASE_026,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.967435,0.920699,0.046736,"['/', '4', ' ', ' about', '/']"
CASE_026,Consult - History and Phy.,B_NOISY,BASELINE,0.67518,0.632974,0.042206,"[' couldn', 'Doc', ' in', '.', ' don']"
CASE_026,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.696184,0.575514,0.12067,"[' couldn', 'Doc', '.', ' fuzzy', ' don']"
CASE_027,Consult - History and Phy.,A_CLEAN,BASELINE,0.580132,0.406947,0.173185,"[' PLAN', 'MENT', ':,', ' AND', '.,']"
CASE_027,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.510284,0.146284,0.364,"[' PLAN', 'MENT', ' AND', ':,', '.,']"
CASE_027,Consult - History and Phy.,B_NOISY,BASELINE,0.731189,0.737616,-0.006426,"['Doc', ' haven', ' don', ' Doc', ' Is']"
CASE_027,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.780686,0.712311,0.068374,"['Doc', ' haven', ' don', ' Doc', '.']"
CASE_028,Consult - History and Phy.,A_CLEAN,BASELINE,0.991213,0.13027,0.860943,"['3', ' ', '.,', ' ', ':,']"
CASE_028,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.983035,0.524117,0.458918,"['3', '.,', ' ', ':,', 'ogram']"
CASE_028,Consult - History and Phy.,B_NOISY,BASELINE,0.630386,0.656634,-0.026248,"['Doc', ' haven', '?', ' don', ' don']"
CASE_028,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.694936,0.704406,-0.009471,"['Doc', '?', ' don', ' don', ' haven']"
CASE_029,Consult - History and Phy.,A_CLEAN,BASELINE,0.946362,0.63419,0.312172,"[' her', ' encouraged', ' I', ' ', '.']"
CASE_029,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.890108,0.301159,0.588949,"[' her', ' encouraged', ' I', ' ', ' diary']"
CASE_029,Consult - History and Phy.,B_NOISY,BASELINE,0.652187,0.677891,-0.025703,"[' won', 'Doctor', ' don', ',', ' But']"
CASE_029,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.774221,0.578851,0.195369,"[' won', 'Doctor', ' don', ',', ' But']"
CASE_030,Consult - History and Phy.,A_CLEAN,BASELINE,0.1654,0.113696,0.051704,"['YN', ' discussed', ' with', ' OB', ' case']"
CASE_030,Consult - History and Phy.,A_CLEAN,T_ADAPTIVE,0.125741,0.969517,-0.843776,"['YN', ' OB', ' with', ' discussed', '/G']"
CASE_030,Consult - History and Phy.,B_NOISY,BASELINE,0.688222,0.722515,-0.034293,"[' don', 'Doctor', ' shouldn', ',', '.']"
CASE_030,Consult - History and Phy.,B_NOISY,T_ADAPTIVE,0.80017,0.654802,0.145368,"[' don', 'Doctor', ' shouldn', ',', '.']"
